hex_id,total_traj_length
88283082c1fffff,727274.2096215264
88283082a9fffff,325783.47425218974
8828308289fffff,288032.32227837906
8828308253fffff,218412.04485842623
88283082d5fffff,193798.58989302567
8828308217fffff,180653.44140224057
88283082a3fffff,162115.7101210178
882830821dfffff,129026.14290395378
88283082b9fffff,101070.78314339179
882830821bfffff,98425.79801382702
88283082e3fffff,87552.10308927759
8828308285fffff,84170.7250016062
8828308219fffff,70332.4238246531
88283082c3fffff,69450.02743888747
8828309537fffff,64324.696646279066
8828308213fffff,63827.79322321952
88283095cbfffff,63161.80244967557
88283095a7fffff,62967.13439369174
8828308299fffff,55360.052467291
8828308251fffff,50976.12696084659
8828308291fffff,49947.881463403806
88283082c7fffff,49925.87231325811
8828308281fffff,44790.91286874018
88283082c9fffff,42996.18740303166
882830828dfffff,42248.51288182416
88283082e1fffff,41553.343923924265
8828308295fffff,40399.55679687584
88283082abfffff,39366.711600374256
8828309515fffff,39135.875414139875
8828309511fffff,36909.129287935204
8828308287fffff,35791.77893013566
88283082a1fffff,33692.96976448515
88283082cdfffff,31272.76022649412
882830953dfffff,29584.704353840487
8828309523fffff,29557.486699703626
88283095b5fffff,28270.54557503032
88283082ebfffff,24267.301801588328
882830829bfffff,23775.206476694795
882830829dfffff,22967.136646903316
882830828bfffff,22149.58589230611
88283082cbfffff,20130.696211162536
8828308215fffff,18873.96325889345
88283095ebfffff,17057.025115034896
88283082bbfffff,16818.219684520907
8828308283fffff,13886.558544313295
8828309585fffff,13803.854008827477
8828308761fffff,11725.973014979281
88283095c7fffff,11328.793548806862
8828309507fffff,10769.526210234424
88283095c3fffff,9372.573995496467
88283082b5fffff,9326.209042761211
8828309563fffff,6815.1287599945545
88283082c5fffff,6574.029728538078
882830950bfffff,6410.235455370123
8828309565fffff,6328.024838704904
8828309583fffff,6201.717293128677
88283082edfffff,5924.8208066018215
88283082b3fffff,4978.230307701611
88283080d9fffff,4092.478946550362
882830959dfffff,3993.4861836751743
88283095c1fffff,3546.6750458656943
88283082adfffff,3052.2825451769636
88283095a5fffff,3026.894046826273
88283095a9fffff,2941.71261097781
8828309557fffff,2549.0854580230957
88283082b7fffff,2508.9769770961484
88283095e9fffff,2188.136655326142
8828308257fffff,2150.932100895943
8828309501fffff,1857.703735512608
88283082d7fffff,1855.3897493300876
8828309535fffff,1797.0979996702808
88283082ddfffff,1784.2364589995807
88283080c9fffff,1462.540643205368
8828308211fffff,1335.8426029215625
88283082a7fffff,1245.9419649688068
8828309539fffff,1193.6761301508063
8828308203fffff,986.2577650513016
8828309521fffff,981.5000890357092
88283082bdfffff,961.8401941392328
88283082d1fffff,849.8568397750028
8828308297fffff,806.4755520563372
8828309525fffff,794.4864927790208
882830876dfffff,779.5880664668698
882830820bfffff,765.5627007741264
88283095b1fffff,750.3289985855546
88283095e7fffff,730.9148696894114
8828309553fffff,658.0150099418609
88283095bdfffff,651.3459439089174
8828308749fffff,553.5559586381937
8828309529fffff,543.0482780977835
8828309567fffff,486.6401278484656
882830876bfffff,477.9503657760033
88283082e5fffff,461.95282231573947
8828308293fffff,410.14401521256696
882830823bfffff,398.94398342008026
88283082e7fffff,334.220213805333
88283095ddfffff,331.07929043013365
88283082d3fffff,313.54822983910816
8828309517fffff,305.06959654541225
88283082b1fffff,303.6621324083785
88283095e1fffff,268.27566555344856
88283095edfffff,252.10457454465413
882830950dfffff,217.81044429154716
88283095e5fffff,204.38919855666956
882830953bfffff,192.2680164945498
882830951bfffff,186.38332252816045
8828309533fffff,176.02059536291716
88283082dbfffff,169.351170638289
88283095c5fffff,166.22949831325622
8828309527fffff,160.25459938554823
8828309513fffff,154.00187886360436
882830951dfffff,138.4660989698587
88283095e3fffff,104.09405287155109
88283095bbfffff,103.60529588061043
88283095b7fffff,102.62351444435778
882830952bfffff,97.63770491710612
88283082e9fffff,96.52725092902143
8828309509fffff,92.3849483478825
8828309531fffff,92.26677336399489
8828309505fffff,88.78005841707946
882830952dfffff,81.06435314391626
8828309587fffff,74.35230851394122
882830874dfffff,73.17233892348551
88283095cdfffff,65.99359770414235
88283080cbfffff,65.38112811956812
88283095b9fffff,55.14687618167723
8828308769fffff,54.975290406530696
882830825bfffff,54.15472769890126
88283095d5fffff,46.28977156565658
8828309519fffff,45.09749928495053
882830958bfffff,41.784754499015534
88283082d9fffff,38.95337427423159
882830874bfffff,35.46125758514596
8828309503fffff,33.02514041855736
88283095a3fffff,32.61564977227572
8828309555fffff,29.908446331964797
8828308745fffff,29.261404479501973
8828308747fffff,28.018119886983936
8828309589fffff,26.37409939036646
882830958dfffff,24.570648307127428
88283095b3fffff,17.417490628766874
8828309581fffff,15.241840086379524
88283095c9fffff,14.405221325283135
8828309425fffff,14.202649724210277
88283095adfffff,11.433483688788515
8828308209fffff,10.327858319021349
8828308259fffff,6.662915103227767
8828309427fffff,3.559701867916425
88283095abfffff,1.680242351757369
