hex_id,mean_sub_traj_centroid_distance
8828308215fffff,483.7546970679612
88283082b3fffff,473.59376225690465
88283095b3fffff,470.37683099341336
8828309507fffff,460.9796085544929
88283082adfffff,458.0497558836674
88283082d7fffff,455.7416057225247
882830823bfffff,454.3459809591872
88283095ddfffff,450.1686863155977
8828309581fffff,444.7862729852975
88283095cdfffff,439.10181863857605
88283095c9fffff,436.1464831831788
88283082edfffff,432.56958630531267
88283080cbfffff,432.4001140923688
8828309557fffff,427.407756527677
8828308211fffff,422.3776282606767
8828309539fffff,421.99129039624427
8828308299fffff,420.0588499580003
88283082d3fffff,419.7674149670297
8828309515fffff,415.85874238772
8828309555fffff,412.087682877165
8828308209fffff,410.3638615518114
882830874bfffff,407.34042436984373
88283082bbfffff,406.1012031591271
882830820bfffff,405.9684871865378
882830950bfffff,404.42062313696306
882830825bfffff,394.14062784733756
88283082e9fffff,390.56699902557096
88283080d9fffff,389.816826081431
88283082ddfffff,389.7629737214101
882830821dfffff,388.40246332636184
88283095c5fffff,386.297604817724
882830952bfffff,382.9105626445959
88283095b1fffff,382.7826209524018
88283082e7fffff,382.386676193397
8828309503fffff,381.99827666570746
882830951dfffff,380.738789004078
88283095cbfffff,380.4347573132808
8828309553fffff,377.971390474744
8828309513fffff,376.5712352581828
8828308769fffff,376.537186766963
88283082e5fffff,375.88781984317893
8828308747fffff,375.0042608617183
88283095e5fffff,373.7727696699053
882830959dfffff,368.89679732816353
8828309533fffff,366.48761342542946
8828309585fffff,364.38730340083913
88283082a1fffff,363.19276610071944
8828308203fffff,362.97118582448394
8828308283fffff,360.1497328737824
8828309425fffff,357.3500317994414
88283082b7fffff,356.12284339666934
88283095a7fffff,356.0635537566656
8828308297fffff,354.7064906145044
88283082ebfffff,354.53631416950714
88283095e7fffff,352.45002415365354
882830952dfffff,351.8511595527401
8828309509fffff,349.3202515878766
8828309519fffff,349.0547095456756
88283095a5fffff,348.8614371459974
8828308259fffff,347.5159719645057
8828309563fffff,345.4631392722833
8828308219fffff,345.3514110595403
8828308251fffff,345.2600864186969
8828308257fffff,344.518949907546
8828308749fffff,342.97533060228164
882830829dfffff,341.2524300437076
882830958dfffff,340.87690447433437
8828308281fffff,339.8507993710478
88283095bdfffff,337.4610738636411
88283095b9fffff,337.03189338963296
8828309527fffff,329.80354165168603
88283082e3fffff,322.0413202491295
88283095abfffff,321.0839133004929
882830953bfffff,319.0151205056715
88283082bdfffff,317.80588671196995
88283095edfffff,314.70035522372206
88283082dbfffff,313.900377131043
8828309531fffff,313.83940260078396
8828309589fffff,312.7338117591799
8828309523fffff,310.0510285242216
882830874dfffff,309.7205080672954
8828308745fffff,309.4591214285156
882830828dfffff,306.90834604411566
88283082c7fffff,306.7207645668129
88283095b7fffff,306.6545356830587
88283095e1fffff,305.5160518467556
8828309583fffff,305.05280348369
8828309517fffff,300.64640293832855
88283082a7fffff,300.1541297749241
88283095e9fffff,296.3236898935029
8828309505fffff,296.1382909532758
88283082cdfffff,295.07325010771444
88283082d1fffff,294.7362392281922
88283082d5fffff,294.2756685594067
8828308761fffff,292.7371972892042
88283095e3fffff,292.5725929272992
88283082c5fffff,288.6433637046237
88283082c3fffff,286.3573450488629
8828309537fffff,283.40066102816047
8828309501fffff,281.11629708146614
8828308213fffff,280.82129500395286
882830950dfffff,280.6088813503362
882830951bfffff,276.889654417712
8828309521fffff,276.0690018800557
882830829bfffff,273.4223432875604
88283095bbfffff,272.57734196180894
88283082a3fffff,272.0234410756057
88283082abfffff,270.4243385532009
88283082c9fffff,266.7765076746402
8828308217fffff,266.6739231619911
8828308291fffff,259.26049218457376
882830958bfffff,250.2121589296495
88283095a3fffff,247.5824738192569
88283095adfffff,245.67107522142345
8828309565fffff,231.606585832896
88283095d5fffff,231.25643364703086
8828309567fffff,227.9902186108711
88283082c1fffff,226.9504399515746
88283082b5fffff,222.7232166409284
882830828bfffff,209.2909639644656
8828309535fffff,204.82169449000807
882830821bfffff,203.90824287139665
88283095c3fffff,201.8536563301534
8828309529fffff,200.32274855888215
88283082d9fffff,196.6741015049827
88283080c9fffff,195.56942933648025
882830876dfffff,194.59534841791503
88283082b1fffff,193.74709218002664
88283095a9fffff,188.78393170021306
88283095c1fffff,188.5007143691322
8828308253fffff,186.0989526839855
8828308285fffff,186.00373361914575
8828309587fffff,184.165211031306
8828309525fffff,179.53914970211804
882830953dfffff,176.96384802110782
88283095ebfffff,174.84760049454852
8828308293fffff,170.1639957448459
88283082b9fffff,169.76185435911987
8828308295fffff,169.21569198286284
8828309511fffff,166.49356089328458
88283095b5fffff,164.17921033478675
88283082a9fffff,158.86203744351553
88283082e1fffff,151.98238390045563
8828308289fffff,135.1151761283535
8828309427fffff,132.37388165058292
882830876bfffff,123.17023922278774
8828308287fffff,113.61402154462861
88283082cbfffff,99.42250781304749
88283095c7fffff,92.34273784218843
