hex_id,amenity_types
88283082b9fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,car_rental,car_sharing,clinic,community_centre,dentist,doctors,dojo,drinking_water,fast_food,fire_station,fountain,fuel,hospital,karaoke_box,motorcycle_parking,nightclub,parking,parking_entrance,parking_space,pharmacy,place_of_worship,post_box,post_office,pub,restaurant,school,social_facility,studio,taxi,theatre,toilets,veterinary,waste_basket"
8828308295fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,car_wash,charging_station,childcare,cinema,clinic,community_centre,conference_centre,dentist,doctors,drinking_water,fast_food,fountain,fuel,hospital,ice_cream,karaoke_box,language_school,library,loading_dock,motorcycle_parking,music_venue,parking,parking_entrance,parking_space,pharmacy,place_of_worship,post_box,post_office,pub,public_bath,public_bookcase,restaurant,school,social_facility,taxi,theatre,toilets,vending_machine,waste_basket"
8828308281fffff,"arts_centre,atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,car_rental,car_sharing,car_wash,clinic,clock,community_centre,concert_hall,coworking_space,dentist,doctors,dojo,dormitory,events_venue,fast_food,fire_station,food_court,fountain,fuel,kindergarten,motorcycle_parking,nightclub,parking,parking_entrance,pharmacy,place_of_worship,post_box,post_office,pub,reception_desk,restaurant,school,shelter,social_facility,theatre,university,vending_machine,waste_basket"
882830829bfffff,"bank,bar,bench,bicycle_parking,bicycle_rental,bicycle_repair_station,cafe,car_wash,clinic,clock,dentist,doctors,fast_food,fuel,library,parking,parking_entrance,parking_space,place_of_worship,post_box,post_office,pub,public_bookcase,restaurant,school,social_facility,toilets,university,vending_machine,veterinary,waste_basket"
88283082d7fffff,"arts_centre,atm,bar,bench,bicycle_parking,bicycle_rental,cafe,car_sharing,community_centre,dentist,doctors,drinking_water,fast_food,fountain,hospital,ice_cream,parking,parking_entrance,place_of_worship,post_box,pub,restaurant,school,shelter,social_facility,toilets,waste_basket"
88283082d5fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,car_wash,cinema,clinic,community_centre,dojo,drinking_water,fast_food,fire_station,fixme,fuel,grave_yard,ice_cream,library,mortuary,parking,parking_entrance,pharmacy,place_of_worship,post_box,post_office,pub,public_bookcase,restaurant,school,shop,taxi,toilets,training,vending_machine,waste_basket"
88283095cbfffff,"atm,bicycle_parking,cafe,fountain,parking,restaurant,social_facility,theatre,toilets,vending_machine"
882830828dfffff,"animal_boarding,animal_shelter,arts_centre,atm,bar,bench,bicycle_parking,bicycle_rental,cafe,car_rental,car_wash,doctors,fast_food,fuel,kindergarten,library,loading_dock,marketplace,motorcycle_parking,music_rehearsal_place,nightclub,parking,parking_entrance,place_of_worship,post_box,post_depot,post_office,pub,restaurant,telephone,vending_machine,veterinary,waste_basket"
88283095ddfffff,"bar,bicycle_parking,cafe,drinking_water,foot_shower,kindergarten,parking,restaurant,taxi,toilets,waste_basket"
8828308217fffff,"bench,bicycle_rental,cafe,car_rental,compressed_air,drinking_water,fire_station,fuel,parking,parking_space,restaurant,theatre,vacuum_cleaner"
882830959dfffff,"bicycle_parking,cafe,childcare,fire_station,fuel,parking,place_of_worship,pub,restaurant,social_facility,taxi,toilets,waste_basket"
8828309585fffff,"bank,bench,bicycle_parking,cafe,clinic,clock,dentist,fast_food,fuel,kindergarten,parking,place_of_worship,post_box,post_office,restaurant,school,social_facility,vending_machine"
882830821bfffff,"animal_boarding,bar,fast_food,fuel,parking,parking_entrance,place_of_worship,post_box,recycling,restaurant,school"
88283095b5fffff,"bank,bar,bench,bicycle_parking,bicycle_rental,cafe,cinema,dentist,drinking_water,fast_food,fire_station,fuel,ice_cream,kindergarten,money_transfer; post_office,parking,pharmacy,place_of_worship,post_box,post_office,pub,public_bookcase,restaurant,school,social_facility,table,toilets,vending_machine,waste_basket"
