hex_id,water_area_%
882830823bfffff,34.91384427532203
88283082e5fffff,32.449710810601815
88283080d9fffff,29.671733310508298
88283095c9fffff,26.432793380511054
88283082a7fffff,26.395362416004488
88283082adfffff,14.98207934620904
8828308215fffff,11.652090248966921
8828308217fffff,11.510507185817234
88283095cbfffff,11.203209710923776
88283080c9fffff,9.338864594946765
8828308761fffff,8.658001312525275
88283080cbfffff,7.5818814011518425
88283095abfffff,7.392638240494903
88283082e7fffff,6.206870979813568
8828308203fffff,5.948600486267838
8828308259fffff,5.565628963654131
88283095b9fffff,4.400082478297579
88283095cdfffff,3.2631195093400596
882830876bfffff,3.1894140987423865
8828309427fffff,2.8582931130446716
88283082e3fffff,2.8475825566515582
88283095e7fffff,2.6334344689439333
8828308211fffff,2.508140683146251
8828308749fffff,1.6198651914845887
8828309587fffff,1.4498521410599985
88283095c1fffff,1.4035944322940532
8828309529fffff,1.2547137091764802
88283082dbfffff,1.0077689965703516
8828309583fffff,0.9051320666628906
88283095bdfffff,0.7829445420596
88283095a5fffff,0.2680818128303701
88283082a9fffff,0.13780235476832386
8828308769fffff,0.11059695151466112
88283082abfffff,0.07322033709074527
88283095b3fffff,0.054586475369314255
8828308745fffff,0.028530685697354
88283082a1fffff,0.019670914330350717
88283095e5fffff,0.014648047837810086
882830951bfffff,0.005738539624548724
88283082b5fffff,0.0055331171680609685
88283082a3fffff,0.004223214491973959
88283082b9fffff,0.003343265405103962
882830828bfffff,0.0027714193898192756
88283082bdfffff,0.002485520682280655
88283082bbfffff,0.0021571312488772205
882830829dfffff,0.0018390589559687614
