hex_id,tree_area_%
8828309427fffff,15.101684557421649
88283095c9fffff,14.288600737947771
8828308747fffff,9.682986057539717
8828309563fffff,9.080490608275984
88283095b3fffff,8.596441017040341
882830876bfffff,8.16406949573031
882830958dfffff,6.317388174724482
882830951bfffff,5.921249851621815
88283082c3fffff,4.245587726153318
88283082b3fffff,3.955856611709497
8828309553fffff,3.8203186412500485
88283095cdfffff,3.621122200201769
8828308769fffff,3.4583176915514278
882830952dfffff,3.0647659850050317
8828309425fffff,3.0140112966359
8828308761fffff,2.6633269177519354
8828308745fffff,2.12861334943311
882830874dfffff,1.8048690342779106
88283080d9fffff,1.5632013976035297
8828309521fffff,1.3305781199927906
88283082a9fffff,1.0793986194027783
8828308287fffff,1.0581864269395427
88283082e9fffff,1.0571634929309948
88283082d1fffff,1.042230456397119
8828309529fffff,0.9488136728347837
8828309505fffff,0.901396956465599
88283082e5fffff,0.8965576009107393
88283082d7fffff,0.8705833144720669
8828309525fffff,0.8499605044079335
88283095b1fffff,0.8285902385897411
8828309537fffff,0.8113312341782889
8828309513fffff,0.7936601518574296
88283095abfffff,0.7496290933243643
8828308299fffff,0.711989313992327
88283095cbfffff,0.6280827048542247
8828309581fffff,0.587741303828906
882830829bfffff,0.5860879063543178
8828309567fffff,0.5375233386874368
88283082a7fffff,0.5159180727305044
88283082e7fffff,0.5009534817700922
8828308283fffff,0.500395235232689
88283082a1fffff,0.4962336248719441
88283082b5fffff,0.4956889419649291
8828309503fffff,0.46969094168826653
8828309589fffff,0.4618084267041662
88283082d5fffff,0.42599124965158625
88283082adfffff,0.3798040442088457
88283082d3fffff,0.36061007120391264
88283082edfffff,0.3587970517621442
88283080cbfffff,0.3563294404427292
88283082abfffff,0.3245755314926139
8828308289fffff,0.2964433650989506
88283082bdfffff,0.2917586225608788
88283082b7fffff,0.2895897615191244
8828309515fffff,0.2856923569642941
882830876dfffff,0.2672234766145204
88283095e9fffff,0.2557104109771615
88283082bbfffff,0.2551550994008217
8828309517fffff,0.2511494065561555
88283095b7fffff,0.23759992607642827
88283095a5fffff,0.2183921433735047
8828308211fffff,0.21052874228256196
882830829dfffff,0.20721938345155824
88283080c9fffff,0.2053943294560412
88283095e1fffff,0.17351383919405086
8828308295fffff,0.16856612174829552
882830950dfffff,0.16493338230735088
8828309507fffff,0.15897305560445854
88283082e1fffff,0.1503342953158372
882830953dfffff,0.14338788291874988
8828309501fffff,0.13483997941339557
88283082e3fffff,0.12946908805461055
882830821dfffff,0.11474301765644612
8828309531fffff,0.10754409944760525
882830821bfffff,0.10542785054824722
8828309511fffff,0.10314008368477033
88283082c1fffff,0.08822937129614812
8828308749fffff,0.08107141164647388
8828308285fffff,0.07828853540076752
88283095edfffff,0.07511345848801701
88283082a3fffff,0.07262159456618059
882830828bfffff,0.052213505857087145
88283082c7fffff,0.04552183109255894
8828309535fffff,0.04509387603110282
88283082ebfffff,0.0409311983400172
8828309565fffff,0.03924539286764816
882830828dfffff,0.02800421502702013
8828308293fffff,0.02775242524551045
88283095a7fffff,0.01956181064824407
88283082b1fffff,0.018787870381342234
88283095a9fffff,0.01818017807985749
88283095b5fffff,0.015176183923615897
88283095ebfffff,0.012790270195745253
8828308297fffff,0.012083678840594421
8828308291fffff,0.006908412562152688
8828308215fffff,0.002158847046731581
