hex_id,mean_point_distance
8828308215fffff,487.1640686067553
88283082b3fffff,474.32843892729284
88283095b3fffff,470.3901791525115
8828309507fffff,468.06170799661595
88283082e3fffff,463.90326860205045
88283082bbfffff,460.2163308246272
88283082adfffff,459.2482039172843
88283082d7fffff,455.9123335634697
882830823bfffff,454.3696647307003
88283095ddfffff,450.18880214364697
8828309581fffff,444.7866262732032
88283095cdfffff,439.1150687125549
88283095c9fffff,436.16202669138374
88283082edfffff,434.72131348773814
8828308299fffff,432.5734352850517
88283080cbfffff,432.4166560827569
8828308211fffff,430.07539063192513
8828309557fffff,428.2154498383894
8828309515fffff,422.66063839625485
88283082d3fffff,419.7933277681103
8828309539fffff,419.5719113613518
882830821dfffff,415.443539330054
8828309555fffff,412.121816193633
8828308209fffff,410.3915239366996
882830950bfffff,409.47791988892095
882830874bfffff,407.37200470916287
882830820bfffff,402.0920878257721
88283082ddfffff,395.17459691691
88283080d9fffff,394.4521800468124
882830825bfffff,394.16953623972904
88283082e9fffff,390.58174524810426
88283095b1fffff,388.34928913436363
88283095cbfffff,386.4867759086415
88283095c5fffff,386.3331625806116
88283082ebfffff,385.8490923596727
8828308219fffff,385.1225691959123
882830952bfffff,382.9320575330053
88283082e7fffff,382.4025926099614
8828309503fffff,382.00711114543486
88283082a1fffff,380.99133705326045
882830951dfffff,380.7817308603417
8828308297fffff,379.8508071627142
8828308251fffff,379.6919815756063
8828309553fffff,378.0063851459034
8828309513fffff,376.5969805910828
8828308769fffff,376.5537894604595
88283082e5fffff,375.90823705791547
88283082d5fffff,375.37461576014465
8828308747fffff,375.0204581564691
88283095e5fffff,373.7996775699197
88283082cdfffff,371.8827583234552
88283095a7fffff,370.8960169647949
882830959dfffff,370.67420279534645
8828309537fffff,368.05331739299965
8828309533fffff,366.5196389846947
8828309585fffff,365.90545374607444
8828308281fffff,364.6140476380948
8828308203fffff,362.999319974576
8828309563fffff,362.3837304597128
88283082b7fffff,362.206872627264
8828308283fffff,359.49581127445833
8828309425fffff,357.35003076622945
8828308749fffff,356.50452066471524
8828308217fffff,354.5203154909794
88283095e7fffff,352.48291700292924
882830952dfffff,351.8807601053407
8828309509fffff,349.350818057966
8828309519fffff,349.0699506045039
88283095a5fffff,348.2441133646221
8828308259fffff,347.51618983809755
88283082c3fffff,343.9854564149715
882830829dfffff,343.04889900179353
8828308257fffff,342.15260285249315
882830958dfffff,340.9065541632411
88283095bdfffff,339.0397053491164
88283095b9fffff,337.05066635113445
8828309583fffff,336.9525066504563
8828308213fffff,334.0818294527353
88283082a9fffff,332.1694901446227
8828309527fffff,329.83726554017255
88283082c7fffff,328.014366090812
88283082c1fffff,327.65799301244647
88283082c5fffff,327.5950843875773
8828309523fffff,326.69538537139294
88283082c9fffff,325.948592897474
8828308253fffff,322.99353816362867
88283095abfffff,321.0847074320509
8828308291fffff,319.73406249221995
882830953bfffff,319.06053239266316
88283082bdfffff,317.8387472446435
88283082abfffff,316.7592607032556
88283095edfffff,314.72618064443964
88283082dbfffff,313.9653376475153
8828309531fffff,313.8508286533861
8828309589fffff,312.7875907457521
88283095e9fffff,312.4713246474128
882830828dfffff,309.80606552925775
882830874dfffff,309.79007174716344
88283082d1fffff,309.6343530412817
8828308745fffff,309.51552220474673
88283095b7fffff,306.69911302118686
88283095e1fffff,305.56249274124866
88283082a3fffff,302.4099290945562
8828309517fffff,300.6945192983157
88283082a7fffff,300.1791248887105
8828308761fffff,296.7794017197317
8828309505fffff,296.3095690311052
8828309521fffff,293.75223069818657
88283095e3fffff,292.6116501972135
882830829bfffff,289.09761654841617
8828309501fffff,283.3929881269827
882830950dfffff,280.6426308789452
882830951bfffff,276.9162048680013
88283095bbfffff,272.66285640218774
882830821bfffff,269.10783866772755
882830828bfffff,264.10601899576744
882830958bfffff,250.22984509134162
88283082b5fffff,249.1983345092795
88283095a3fffff,247.6079640378358
8828308285fffff,247.3510334786819
88283095adfffff,245.67754628744157
8828309565fffff,241.98644276602204
88283082b9fffff,234.57648204750706
8828308289fffff,233.1660164595169
88283095d5fffff,231.31354132585
88283095c3fffff,229.14993305188952
8828309567fffff,226.80068412197167
8828309535fffff,209.98159869380552
8828309529fffff,200.37580389402277
88283080c9fffff,199.25182783071847
88283082e1fffff,198.8997903151147
88283082d9fffff,196.94723620301752
88283095a9fffff,196.84818362484998
882830876dfffff,194.64934524187828
882830953dfffff,194.484613767727
88283082b1fffff,193.80602990786898
88283095b5fffff,193.4454488651518
8828309511fffff,192.30329622204843
88283095c1fffff,188.45360485296635
88283095ebfffff,185.5924289471958
8828309587fffff,184.28679302251132
8828309525fffff,181.3061055816444
8828308295fffff,181.11422645796853
8828308293fffff,170.24694865221701
8828308287fffff,157.5783326350304
8828309427fffff,132.38053908691694
882830876bfffff,123.24331820486718
88283082cbfffff,105.48355879126528
88283095c7fffff,101.98201004406867
