h3_index,geometry
88283082e3fffff,"POLYGON ((-122.39905950137711 37.765375671538024, -122.3945849533173 37.76891867937889, -122.3960319590407 37.773611293806056, -122.4019538515761 37.7747607144902, -122.40642818680486 37.771217589546495, -122.40498084237768 37.76652516103145, -122.39905950137711 37.765375671538024))"
88283095e5fffff,"POLYGON ((-122.45404489583083 37.74516192742889, -122.44957468417971 37.74870664801545, -122.45102337481843 37.75339858889996, -122.45694261485225 37.754545622760304, -122.46141261255478 37.75100078523914, -122.45996358422056 37.74630903080213, -122.45404489583083 37.74516192742889))"
8828309509fffff,"POLYGON ((-122.4410109564112 37.702923755096386, -122.436541737609 37.706468685446445, -122.43798937456032 37.711162724596356, -122.44390656799126 37.71231164685789, -122.44837557330267 37.70876659936582, -122.44692759872224 37.704072746764105, -122.4410109564112 37.702923755096386))"
88283082b1fffff,"POLYGON ((-122.41814112039496 37.7911330575155, -122.41366666603628 37.794676227840164, -122.41511471338828 37.79936725426075, -122.42103755371477 37.80051492442699, -122.42551179471978 37.796971637173684, -122.42406340880041 37.79228079669274, -122.41814112039496 37.7911330575155))"
88283095e7fffff,"POLYGON ((-122.46141261255478 37.75100078523914, -122.45694261485225 37.754545622760304, -122.45839165007875 37.759237120299936, -122.4643110206721 37.76038359385052, -122.46878080424135 37.75683863944775, -122.46733143139899 37.75214732838591, -122.46141261255478 37.75100078523914))"
882830829dfffff,"POLYGON ((-122.43458610784572 37.772267349851525, -122.43011350268341 37.77581120251895, -122.43156187542583 37.78050255819178, -122.43748319156116 37.78164987504548, -122.44195558308805 37.77810590545451, -122.44050687216347 37.77341473594332, -122.43458610784572 37.772267349851525))"
882830828bfffff,"POLYGON ((-122.42721710867485 37.76642779032926, -122.42274429006201 37.7699715260203, -122.42419231791122 37.77466332517581, -122.43011350268341 37.77581120251895, -122.43458610784572 37.772267349851525, -122.43313774173482 37.76757573682727, -122.42721710867485 37.76642779032926))"
882830958bfffff,"POLYGON ((-122.49994118106497 37.749638429542216, -122.49547367535688 37.75318429554275, -122.4969240672289 37.75787478980175, -122.50284230184937 37.75901923127999, -122.50730959258999 37.75547324856212, -122.50585886372606 37.7507829410932, -122.49994118106497 37.749638429542216))"
8828308283fffff,"POLYGON ((-122.42419231791122 37.77466332517581, -122.41971895414805 37.77820687262237, -122.42116698852692 37.78289841436256, -122.42708872508095 37.78404622259876, -122.43156187542583 37.78050255819178, -122.43011350268341 37.77581120251895, -122.42419231791122 37.77466332517581))"
882830951bfffff,"POLYGON ((-122.473491085098 37.71805100739221, -122.46902326582664 37.721596592596086, -122.47047227331272 37.7262891167457, -122.47638943732788 37.72743586896796, -122.4808570423384 37.723890166818144, -122.47940769764297 37.71919782940189, -122.473491085098 37.71805100739221))"
8828308211fffff,"POLYGON ((-122.39037926080604 37.737214941158136, -122.38590537771385 37.740758091174996, -122.38735168100284 37.74545210579771, -122.393272206091 37.746602784434785, -122.39774587665701 37.74305951717752, -122.39629923470937 37.73836568853357, -122.39037926080604 37.737214941158136))"
8828308749fffff,"POLYGON ((-122.47010924304796 37.77914640849451, -122.46563858386365 37.782691104554125, -122.46708832223761 37.787381200334465, -122.47300905750423 37.788526413654616, -122.47747950224945 37.78498160085131, -122.47602942621562 37.78029169148142, -122.47010924304796 37.77914640849451))"
8828308253fffff,"POLYGON ((-122.39643280444679 37.72073927812787, -122.39196001103699 37.724282803839806, -122.39340630191171 37.72897733180997, -122.39932572469964 37.73012814797154, -122.40379830551838 37.72658450498693, -122.40235167618863 37.72189016312337, -122.39643280444679 37.72073927812787))"
